Date,Close,High,Low,Open,Volume
,DFS,DFS,DFS,DFS,DFS
2009-07-27,9.063582420349121,9.184128707668512,8.965638382273978,9.101253314764568,5383800
2009-07-28,8.988241195678711,9.078650909615678,8.852626265516992,8.980706873222497,5205100
2009-07-29,8.792352676391602,8.830023568247103,8.52112354835449,8.762216106609701,7838800
2009-07-30,9.033449172973633,9.251939578776144,8.852629675450068,8.87523193301231,7329300
2009-07-31,8.95057201385498,9.267006432413945,8.95057201385498,9.033447421187024,8262800
2009-08-03,9.214265823364258,9.402619588046399,9.07865160138168,9.221800146394566,7254000
2009-08-04,9.342345237731934,9.462892235155167,9.093718357850419,9.169060141425875,6247900
2009-08-05,9.440290451049805,9.493029993561455,9.12385607003025,9.447824774053268,10112000
2009-08-06,9.477959632873535,9.681382006089859,9.25946933488885,9.575903658661492,10697400
2009-08-07,9.613576889038086,9.719054543635401,9.334813387082473,9.598508242088393,9967300
2009-08-10,9.342345237731934,9.719052718584228,9.229333280881244,9.606040761733539,8935800
2009-08-11,9.251936912536621,9.462893650699707,9.16906151301637,9.2896078099595,9864500
2009-08-12,9.41768741607666,9.51563145142536,9.153991881021502,9.357414274094772,6272800
2009-08-13,9.493029594421387,9.628643810218795,9.410153481893047,9.553302738889693,7624500
2009-08-14,9.402620315551758,9.553303913766326,9.214266536296192,9.470427791045784,7098000
2009-08-17,9.138922691345215,9.31220777095871,9.018376424046709,9.304674168136874,10888700
2009-08-18,9.387550354003906,9.43275556738181,9.07111601589605,9.184127971572075,7311600
2009-08-19,9.432760238647461,9.575908834627578,9.20673549685157,9.2594743398159,9550100
2009-08-20,9.884808540344238,9.937547380836266,9.40262249501788,9.447827728663057,7342700
2009-08-21,10.178638458251953,10.238911610457448,9.899874949673375,9.945079454571172,6871400
2009-08-24,10.336859703063965,10.706033084259444,10.223846959617864,10.66836216977741,10645300
2009-08-25,10.261515617370605,10.562882148436923,10.21631110474396,10.434801498473472,7603100
2009-08-26,10.555342674255371,10.638218052650096,10.035486003062536,10.25397629020538,8490500
2009-08-27,10.532740592956543,10.615616696807585,10.30671668412184,10.495070420492414,6144600
2009-08-28,10.721097946166992,10.72863227060657,10.449868732956723,10.638222532869813,4833500
2009-08-31,10.359456062316895,10.495070989783958,10.095760529689274,10.374524706929911,8832700
2009-09-01,9.839599609375,10.336853363749256,9.75672350463763,10.208772764166493,11682200
2009-09-02,9.779327392578125,9.937544588103489,9.696451992450596,9.764259464606125,7728800
2009-09-03,10.27658462524414,10.27658462524414,9.756727682338859,9.884808336764056,8500100
2009-09-04,10.208775520324707,10.374527056036442,10.05055830862548,10.329321830474083,4965500
2009-09-08,10.359456062316895,10.449865774457429,10.238909779462846,10.321785169296874,6395200
2009-09-09,10.773836135864258,10.788904064324628,10.359457684770895,10.359457684770895,6927400
2009-09-10,10.9019193649292,10.992329112823036,10.593019213330383,10.736167801200759,7715000
2009-09-11,11.082735061645508,11.15054252895024,10.841642483239847,10.984791022040067,7505000
2009-09-14,11.32382869720459,11.353965272318744,10.939587544127283,11.029997269469746,8652600
2009-09-15,11.406704902648926,11.466978053326352,10.999860776319975,11.037530956608894,12738400
2009-09-16,11.542319297790527,11.828617126866583,11.376568490309108,11.429307318279319,11295500
2009-09-17,11.69300365447998,12.333406829330599,11.120407959144451,11.677935006359878,18861800
2009-09-18,12.099848747253418,12.250532374985449,11.677936601439537,11.790948603725774,10586400
2009-09-21,12.07724380493164,12.129982628665267,11.88888932335601,12.009435616754345,9040500
2009-09-22,12.21285629272461,12.318335368454978,12.09984433167962,12.175186118051297,7394100
2009-09-23,12.009434700012207,12.35600562633317,12.009434700012207,12.250527986917572,9157600
2009-09-24,11.979300498962402,12.160119961030567,11.821083290024589,12.114915454769863,9416900
2009-09-25,11.572455406188965,12.001902491715464,11.512182257082195,11.903958444788811,8830700
2009-09-28,12.36353874206543,12.36353874206543,11.610123820857178,11.700533525180672,6929100
