Date,Close,High,Low,Open,Volume
,TPR,TPR,TPR,TPR,TPR
2009-01-02,14.416031837463379,14.514233437435525,13.407825581039912,13.643510419933936,4016700
2009-01-05,14.337471961975098,14.481502162357495,13.879197343698115,14.304738506634342,5743400
2009-01-06,14.34401798248291,14.704090962934353,13.813728298037685,14.219628612506455,5864300
2009-01-07,14.114877700805664,14.21307929278932,13.826819864147073,14.0755973137524,7888400
2009-01-08,13.682798385620117,13.866109056104957,13.021572081626905,13.866109056104957,10547100
2009-01-09,11.856237411499023,12.73350739521431,11.790769259981246,12.71386657514864,15290100
2009-01-12,11.299763679504395,12.052644545587334,11.234295506649023,11.803866987178765,9099400
2009-01-13,11.24738883972168,11.574728439253969,11.090265981790358,11.286669242029141,8726900
2009-01-14,10.507598876953125,10.933141283682478,10.474865421989913,10.815298847892889,10419800
2009-01-15,11.005151748657227,11.306304686215771,10.343926546823502,10.514142583058172,11344400
2009-01-16,11.129547119140625,11.32595039235072,10.704005861384383,11.208109177645598,6366600
2009-01-20,10.389753341674805,11.227742100268408,10.337379083284604,11.129540521874386,8489000
2009-01-21,9.636873245239258,10.795654532985012,8.753056511459103,10.625437875103579,20653000
2009-01-22,9.45356559753418,9.813639214768337,9.152413197128416,9.473206419377393,10047400
2009-01-23,9.427374839782715,9.564857418145605,9.172050497359047,9.230971691564626,8617500
2009-01-26,9.479753494262695,9.905295302993828,9.23752229130067,9.329177594185222,7207900
2009-01-27,9.375003814697266,9.708890280699903,9.224427932588585,9.492846243721866,6394700
2009-01-28,10.068964004516602,10.429037611914485,9.505940238421227,9.70234345668316,8111500
2009-01-29,9.72198486328125,9.977309312133269,9.649969762855793,9.879107697090284,5593700
2009-01-30,9.55831527709961,9.911841972315585,9.479753234295476,9.76781239297555,10817400
2009-02-02,9.145868301391602,9.538675434006944,8.936370539646035,9.414286664766431,8859500
2009-02-03,9.70234203338623,9.852918519562062,8.936367596608315,9.04111675515914,9449400
2009-02-04,9.584503173828125,9.8529215308388,9.447020524584767,9.761266223226327,5858900
2009-02-05,9.76126480102539,10.010042921712063,9.558314639643246,9.597595034074997,8780800
2009-02-06,10.389753341674805,10.605797937972389,9.7350744874469,9.93802520697173,8041100
2009-02-09,9.905292510986328,10.481410057404524,9.807090294643734,10.402848658940746,7981500
2009-02-10,9.36845874786377,9.99040380464926,9.257163244356288,9.807093196313007,7230900
2009-02-11,9.296442985534668,9.636876413209627,9.086945875796623,9.460112758605174,6279000
2009-02-12,9.355361938476562,9.414283142411167,8.982195146024711,9.296440734541958,6026600
2009-02-13,9.145868301391602,9.486301149658232,9.106587275954709,9.29644421280647,3864500
2009-02-17,9.145868301391602,9.342272179874632,8.726873402251186,8.844715854211147,8893900
2009-02-18,8.949460983276367,9.407736107369683,8.798884505383285,9.32262777192585,6269500
2009-02-19,9.001839637756348,9.270258028876956,8.877450855658058,9.047666985210856,5518700
2009-02-20,8.99528980255127,9.165506501712935,8.746511694011277,8.81852678753768,7029600
2009-02-23,8.746513366699219,9.185148454542624,8.681045825205855,9.080399888672682,8261700
2009-02-24,9.342268943786621,9.433923597473061,8.654855919385806,8.83816585110919,8144300
2009-02-25,9.073851585388184,9.519033547871937,8.870901425562197,9.289895626158097,10091200
2009-02-26,8.897088050842285,9.486298923681275,8.877447854907805,9.224427563386294,7364500
2009-02-27,9.152413368225098,9.40773843780436,8.759606289276963,8.759606289276963,8038300
2009-03-02,8.510826110839844,9.113130777862702,8.484638978549741,8.870899648091626,6847400
2009-03-03,8.517374038696289,8.766152136505658,8.320970211546728,8.654856655265926,9922400
2009-03-04,8.753058433532715,8.923275128791829,8.5304674665555,8.713778041919422,7001300
2009-03-05,8.039461135864258,8.825076122787175,7.960899699607046,8.530470580734931,8405300
2009-03-06,7.725209712982178,8.15729760699748,7.469884764541165,8.15729760699748,12831500
2009-03-09,7.679388046264648,7.843057874609769,7.502624956314359,7.600826603581092,11392800
2009-03-10,8.609026908874512,8.648307915871351,7.771038128329376,7.771038128329376,8769500
2009-03-11,9.15895938873291,9.394644236772438,8.43881283750803,8.504280365246345,10618200
2009-03-12,9.466658592224121,9.545219999187946,8.988742586089314,9.113131948711626,8475600
2009-03-13,9.61723518371582,9.682703339912361,9.204787922469682,9.525580514261394,7008900
2009-03-16,9.394643783569336,9.754716729636362,9.394643783569336,9.754716729636362,5256500
2009-03-17,9.996949195861816,9.996949195861816,9.185146715379265,9.394644431802464,5329300
2009-03-18,10.343932151794434,10.540336049327708,9.800548430707865,9.93148415427979,7863100
2009-03-19,10.219538688659668,10.435582702864767,10.01004161412152,10.415942508214448,5550300
2009-03-20,9.839828491210938,10.39630607735342,9.7154397142589,10.239183214566399,7612700
2009-03-23,10.808751106262207,10.828391927005566,9.905293955637113,10.180259202538254,5339700
2009-03-24,10.998608589172363,11.234293469227916,10.5796143568081,10.6516294587587,7341200
2009-03-25,11.24738883972168,11.600914957891785,10.795659842730707,11.136093325932642,10338400
